Date;PX_LAST;PX_HIGH;PX_LOW;PX_OPEN
18.06.2019;63.9965;64.3905;64.209;64.2208
17.06.2019;64.315;64.4184;64.136;64.4275
14.06.2019;64.3876;64.568;64.2184;64.5079
13.06.2019;64.5772;64.713;64.497;64.8187
11.06.2019;64.5553;64.6149;64.4467;64.5435
10.06.2019;64.7737;64.8678;64.6335;64.7065
07.06.2019;64.841;65.1535;64.746;65
06.06.2019;65.0759;65.3408;65.0173;65.1129
05.06.2019;65.3772;65.3902;64.9608;65.2325
04.06.2019;65.1423;65.3485;65.0023;65.2306
03.06.2019;65.3456;65.5975;65.1588;65.3495
31.05.2019;65.4289;65.5876;65.1212;65.4741
30.05.2019;65.1755;65.1998;64.8865;65.0618
29.05.2019;64.9718;65.3806;64.8653;65.136
28.05.2019;64.711;64.752;64.4618;64.6864
27.05.2019;64.446;64.5061;64.3654;64.3918
24.05.2019;64.4698;64.6718;64.406;64.46
23.05.2019;64.8612;64.929;64.4462;64.8011
22.05.2019;64.3845;64.485;64.1516;64.3673
21.05.2019;64.4197;64.6146;64.3436;64.4016
20.05.2019;64.5291;64.7836;64.4185;64.5493
17.05.2019;64.7699;64.7995;64.5584;64.6789
16.05.2019;64.6324;64.665;64.3972;64.5809
15.05.2019;64.6575;64.9836;64.4866;64.625
14.05.2019;64.951;65.4376;64.8569;64.8945
13.05.2019;65.431;65.5541;65.1177;65.4767
10.05.2019;65.1027;65.4501;65.0562;65.1765
08.05.2019;65.0628;65.3572;64.9077;65.259
07.05.2019;65.3922;65.4575;64.9869;65.0235
06.05.2019;65.2219;65.5036;65.0525;65.2954
03.05.2019;65.0881;65.6003;65.02;65.2796
02.05.2019;65.4408;65.5655;64.8611;65.1988
30.04.2019;64.6319;65.003;64.3352;65.4746
29.04.2019;64.467;64.7995;64.408;64.762
26.04.2019;64.7383;64.8891;64.5837;64.6919
25.04.2019;64.6637;64.9789;64.4541;64.4393
24.04.2019;64.3424;64.5019;63.8568;64.815
23.04.2019;63.6903;63.8928;63.66;64.7657
22.04.2019;63.8046;64.06;63.7455;64.4215
19.04.2019;64.0605;64.0737;63.9103;63.73
18.04.2019;63.9033;64.1568;63.8666;63.8075
17.04.2019;63.8575;64.0629;63.8024;63.9351
16.04.2019;64.1038;64.4511;64.079;63.9711
15.04.2019;64.2794;64.4124;64.177;63.844
12.04.2019;64.3506;64.631;64.1304;64.1071
11.04.2019;64.615;64.7102;64.316;64.2586
10.04.2019;64.3243;64.813;64.2158;64.5475
09.04.2019;64.9163;64.948;64.6402;64.6688
08.04.2019;64.8779;65.4521;64.8138;64.2573
05.04.2019;65.3565;65.4705;65.166;64.9161
04.04.2019;65.4849;65.6065;65.1913;64.8961
03.04.2019;65.234;65.4593;65.0436;65.505
02.04.2019;65.3208;65.5553;65.2525;65.447
01.04.2019;65.1853;65.846;65.1528;65.2495
29.03.2019;65.6304;65.7562;64.5983;65.4013
28.03.2019;64.9398;65.2863;64.711;65.3646
27.03.2019;64.8365;64.9825;64.4328;65.535
26.03.2019;64.3976;64.4699;64.0317;64.9776
25.03.2019;64.0753;64.6073;63.9241;64.7526
22.03.2019;64.6596;64.8335;63.7019;64.405
21.03.2019;63.8552;63.9482;63.6393;64.0935
20.03.2019;63.8631;64.3885;63.6565;64.325
19.03.2019;64.3854;64.579;64.181;63.8439
18.03.2019;64.357;64.7986;64.1407;64.3047
15.03.2019;64.8045;65.5044;64.8027;64.3752
14.03.2019;65.5226;65.5951;65.3195;64.3899
13.03.2019;65.4017;65.6364;65.3275;64.835
12.03.2019;65.6246;65.8681;65.5554;65.548
11.03.2019;65.9693;66.35;65.9373;65.4024
07.03.2019;66.2821;66.303;65.8537;65.6217
06.03.2019;65.9745;66.035;65.7876;65.9554
05.03.2019;65.7595;65.85;65.7;66.3918
04.03.2019;65.7458;65.928;65.6452;66.1712
01.03.2019;65.9297;65.9414;65.6154;65.9762
28.02.2019;65.9115;65.9435;65.688;65.775
27.02.2019;65.7824;66.021;65.6655;65.7429
26.02.2019;65.7034;65.9363;65.5797;65.9274
25.02.2019;65.5016;65.6343;65.164;65.8467
22.02.2019;65.3837;65.6546;65.3083;65.7429
21.02.2019;65.5861;65.7068;65.3721;65.8316
20.02.2019;65.6375;65.9346;65.4698;65.576
19.02.2019;65.7693;66.3362;65.74;65.5085
18.02.2019;66.2572;66.398;66.0873;65.5475
15.02.2019;66.3185;66.772;66.3021;65.5132
